DATE,COLOUR,COUNT,KGS,MONTH OF TOTAL ,LABOUR,SHIFT,A   C-1,TP,A   C-2,TP,A   C-3,TP,A   C-4,TP,TOTAL,GRAND TOTAL,FS,ALL WASTE,POWDER,WASTE TOTAL,WASTE %,INCULDING WASTE TOTAL KGS
23.05.2019,BLACK,20S,8000,,1,A,709.7,709.7,274.2,274.2,339.3,339.3,614.1,614.1,1937.3,1937.3,65.6,29.5,15,110.1,0.05377552,2047.4
,,,,,,C,,709.7,,274.2,,339.3,,614.1,0,1937.3,,,,0,0,0
24.05.19,CB,20S,6000,,2,A,530.9,1240.6,286.7,560.9,431.3,770.6,405,1019.1,1653.9,3591.2,56.5,13.1,26,95.6,0.054644184,1749.5
,,,,,,C,134.4,1375,36.4,597.3,100.4,871,95.3,1114.4,366.5,3957.7,14.7,10.4,5,30.1,0.075895108,396.6
25.05.19,RED,20S,8000,,2,A,427,1802,172,769.3,223.8,1094.8,329,1443.4,1151.8,5109.5,27.5,15.4,28.3,71.2,0.058217498,1223
,,,,,,C,207.2,2009.2,128.8,898.1,159.6,1254.4,183.8,1627.2,679.4,5788.9,28.3,10.2,16.2,54.7,0.074513009,734.1
26.5.19,,,,,2,A,567,2576.2,342,1240.1,432,1686.4,236,1863.2,1577,7365.9,28.3,12,23,63.3,0.038590502,1640.3
,,,,,1,C,234,2810.2,123,1363.1,211,1897.4,,1863.2,568,7933.9,23,1,2,26,0.043771044,594
27.05.19,,,,,2,A,543,3353.2,524,1887.1,436,2333.4,678,2541.2,2181,10114.9,43,23,34,100,0.043840421,2281
,,,,,,C,,3353.2,,1887.1,,2333.4,,2541.2,0,10114.9,,,,0,#DIV/0!,0
28.05.19,,,,,2,A,678,4031.2,426,2313.1,476,2809.4,432,2973.2,2012,12126.9,54,13,2,69,0.033157136,2081
,,,,,,C,,4031.2,,2313.1,,2809.4,,2973.2,0,12126.9,,,,0,#DIV/0!,0
29.05.19,,,,,2,A,964,4995.2,145,2458.1,378,3187.4,362,3335.2,1849,13975.9,45,15,12,72,0.037480479,1921
,,,,,,C,,4995.2,,2458.1,,3187.4,,3335.2,0,13975.9,,,,0,#DIV/0!,0
30.05.19,,,,,2,A,432,5427.2,348,2806.1,321,3508.4,234,3569.2,1335,15310.9,76,12,54,142,0.096140826,1477
,,,,,,C,,5427.2,,2806.1,,3508.4,,3569.2,0,15310.9,,,,0,#DIV/0!,0
31.05.19,,,,,,A,,5427.2,,2806.1,,3508.4,,3569.2,0,15310.9,,,,0,#DIV/0!,0
,,,,,2,C,345,5772.2,389,3195.1,421,3929.4,209,3778.2,1364,16674.9,45,11,44,100,0.068306011,1464
